Index	Name	Description	File Name	Quantity
1	mast base		C:/Users/n8/sailerbot/cad/mast-base.FCStd	1
2	inner mast		C:/Users/n8/sailerbot/cad/innermast.FCStd	1
3	servo		C:/Users/n8/sailerbot/cad/servo.FCStd	2
4	mast		C:/Users/n8/sailerbot/cad/mast.FCStd	1
5	boom-motor-shaft		C:/Users/n8/sailerbot/cad/boom-motor-shaft.FCStd	2
6	57545K624_Steel Worm001		C:/Users/n8/sailerbot/cad/worm.FCStd	2
7	57545K738_Metal Worm Gear		C:/Users/n8/sailerbot/cad/worm-gear-30t.FCStd	1
8	57545K741_Metal Worm Gear		C:/Users/n8/sailerbot/cad/worm-gear-60t.FCStd	1
9	2705T117_Moisture-Resistant Dry-Running Flanged Sleeve Bearing		C:/Users/n8/sailerbot/cad/bearing.FCStd	6
10	2610T42_Light Duty Dry-Running Acetal Sleeve Bearing		C:/Users/n8/sailerbot/cad/bearing.FCStd	1
