Number	Label	Material	Volume (m^3)	Area (m^2)	Density (kg/m^3)	Mass (kg)	Center of mass X (m)	Center of mass Y (m)	Center of mass Z (m)	Lxx (kg*m^2)	Lxy (kg*m^2)	Lxz (kg*m^2)	Lyx (kg*m^2)	Lyy (kg*m^2)	Lyz (kg*m^2)	Lzx (kg*m^2)	Lzy (kg*m^2)	Lzz (kg*m^2)
1	hull	PLA-Generic	9.682671e-04	9.787493e-01	1.240000e+03	1.200651e+00	3.076838e-10	-4.817103e-01	-1.731973e-04	1.098988e-01	-7.240586e-09	-1.036892e-11	-7.240586e-09	6.669146e-03	-5.941260e-05	-1.036892e-11	-5.941260e-05	1.099142e-01
2	keelson	ABS-Generic	1.109624e-03	2.399578e-01	1.060000e+03	1.176201e+00	1.041562e-03	-5.150000e-01	-8.805493e-02	6.286878e-02	-2.072334e-17	-1.316324e-05	-2.072334e-17	4.422646e-04	-1.617432e-17	-1.316324e-05	-1.617432e-17	6.303493e-02
3	transom	ABS-Generic	2.804385e-04	6.285002e-02	1.060000e+03	2.972648e-01	-2.356611e-06	-8.419980e-03	5.123768e-05	4.581137e-04	-1.161492e-08	-3.589391e-11	-1.161492e-08	8.910256e-04	-1.401236e-08	-3.589391e-11	-1.401236e-08	4.540646e-04
4	rudder	Aluminum-Generic	3.756236e-04	8.667803e-02	2.700000e+03	1.014184e+00	-2.376862e-04	1.032766e-01	-6.585744e-02	8.016782e-03	-2.035302e-09	2.594184e-08	-2.035302e-09	5.530032e-03	1.836078e-03	2.594184e-08	1.836078e-03	2.502096e-03
5	bow cap	ABS-Generic	1.294200e-04	6.078000e-02	1.060000e+03	1.371852e-01	-1.197112e-17	-1.018310e+00	4.452602e-17	2.827642e-04	1.400473e-20	-4.205848e-20	1.400473e-20	4.833190e-04	-1.115332e-18	-4.205848e-20	-1.115332e-18	2.827642e-04
6	mast	Steel-Generic	1.566355e-05	1.491859e-01	7.900000e+03	1.237421e-01	-1.629330e-05	-8.412980e-01	4.493931e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
7	boom	Steel-Generic	5.189911e-06	5.191394e-02	7.900000e+03	4.100030e-02	1.401943e-18	-4.750000e-01	1.290000e-01	1.674893e-03	9.311771e-21	1.338608e-20	9.311771e-21	1.427630e-06	1.557567e-17	1.338608e-20	1.557567e-17	1.674893e-03
8	keel	Aluminum-Generic	1.049335e-03	2.397134e-01	2.700000e+03	2.833204e+00	4.174439e-17	-4.674869e-01	-1.582250e-01	1.645116e-01	6.598234e-18	1.126528e-18	6.598234e-18	4.302483e-03	2.634719e-03	1.126528e-18	2.634719e-03	1.602520e-01
9	mast base	PLA-Generic	6.403832e-04	8.848445e-02	1.240000e+03	7.940751e-01	-3.062436e-04	-8.397653e-01	-6.122745e-04	1.317057e-03	9.593061e-06	1.018446e-05	9.593061e-06	2.316902e-03	-4.680573e-06	1.018446e-05	-4.680573e-06	1.309684e-03
10	inner mast	Steel-Generic	3.025530e-05	2.039837e-02	7.900000e+03	2.390169e-01	1.450309e-12	-8.405000e-01	4.250522e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
11	boom-motor-shaft	Steel-Generic	2.430138e-06	2.013802e-03	7.900000e+03	1.919809e-02	-2.000000e-02	-8.408334e-01	1.250000e-02	2.562347e-06	2.491255e-14	3.089927e-15	2.491255e-14	2.261192e-07	-1.787891e-13	3.089927e-15	-1.787891e-13	2.562347e-06
12	furl-motor-shaft	Steel-Generic	2.430138e-06	2.013802e-03	7.900000e+03	1.919809e-02	-1.100000e-02	-8.393334e-01	-4.250000e-02	2.562347e-06	2.491255e-14	3.089927e-15	2.491255e-14	2.261192e-07	-1.787891e-13	3.089927e-15	-1.787891e-13	2.562347e-06
13	rudderservobase	PLA-Generic	3.825015e-04	6.760257e-02	1.240000e+03	4.743019e-01	-4.164535e-04	-6.155222e-02	2.787400e-02	3.728451e-04	4.034705e-06	-1.988626e-05	4.034705e-06	1.038072e-03	1.627541e-06	-1.988626e-05	1.627541e-06	8.780585e-04
14	rudder-servo-shaft	PLA-Generic	2.430138e-06	2.013802e-03	1.240000e+03	3.013372e-03	1.520000e-02	-6.133341e-02	2.900000e-02	4.021912e-07	3.910325e-15	4.850012e-16	3.910325e-15	3.549213e-08	-2.806310e-14	4.850012e-16	-2.806310e-14	4.021912e-07
15	rudder-output-shaft	Steel-Generic	3.960169e-06	2.868279e-03	7.900000e+03	3.128533e-02	1.108021e-11	-6.050000e-02	4.488556e-02	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
16	rudder-cap	ABS-Generic	8.670223e-06	4.833143e-03	1.060000e+03	9.190436e-03	6.369186e-09	-6.050000e-02	7.884254e-02	1.075647e-06	-3.092144e-14	3.760909e-13	-3.092144e-14	1.116376e-06	2.299403e-14	3.760909e-13	2.299403e-14	2.029625e-06
17	mast-deck-cap	ABS-Generic	2.884700e-05	9.902169e-03	1.060000e+03	3.057782e-02	1.255761e-08	-8.400000e-01	8.176745e-02	6.334591e-06	-2.369241e-13	4.945955e-12	-2.369241e-13	1.130399e-05	-4.472089e-14	4.945955e-12	-4.472089e-14	1.518252e-05
18	rudder-servo	ABS-Generic	2.887719e-05	6.535509e-03	1.060000e+03	3.060982e-02	1.499900e-02	-1.127892e-01	3.838203e-02	7.544037e-06	2.762345e-10	-9.017583e-10	2.762345e-10	5.227616e-06	8.962423e-09	-9.017583e-10	8.962423e-09	4.355757e-06
19	boom-servo	ABS-Generic	2.887719e-05	6.535509e-03	1.060000e+03	3.060982e-02	-1.949900e-02	-7.912108e-01	2.238203e-02	7.544037e-06	2.762345e-10	9.017583e-10	2.762345e-10	5.227616e-06	-8.962423e-09	9.017583e-10	-8.962423e-09	4.355757e-06
20	furl-servo	default	2.887719e-05	6.535509e-03	2.500000e+03	7.219298e-02	-1.049900e-02	-7.912108e-01	-3.261797e-02	1.779254e-05	6.514965e-10	2.126789e-09	6.514965e-10	1.232928e-05	-2.113779e-08	2.126789e-09	-2.113779e-08	1.027301e-05
21	sensor-bar	Aluminum-Generic	7.340321e-05	2.438993e-02	2.700000e+03	1.981887e-01	-1.761098e-04	-8.400000e-01	9.962625e-01	2.472578e-05	9.199166e-21	1.278895e-20	9.199166e-21	1.078929e-03	3.981105e-22	1.278895e-20	3.981105e-22	1.100658e-03
22	mast-head	ABS-Generic	7.583410e-05	2.043085e-02	1.060000e+03	8.038415e-02	-8.452640e-19	-8.405112e-01	9.594483e-01	3.732185e-05	1.621953e-20	-3.359937e-21	1.621953e-20	3.715945e-05	3.100749e-08	-3.359937e-21	3.100749e-08	1.672997e-05
23	esp32cam-enclosure	ABS-Generic	4.291954e-05	8.426207e-03	1.060000e+03	4.549471e-02	5.012642e-14	-8.402521e-01	1.007880e+00	1.289430e-05	-7.391326e-17	-1.408727e-17	-7.391326e-17	7.629469e-06	-2.953868e-08	-1.408727e-17	-2.953868e-08	1.749469e-05
